Problem Name,Importance,Immediacy,Complexity,Cost
Proliferation of Genetically Modified Food,1.0,0.5714285714285714,0.33333333333333337,0.0
The magnitude of US debt,0.2,0.5,0.5,0.2
The War on Drugs,0.8,0.5,0.33333333333333337,1.0
Drinking and Driving,0.5454545454545454,0.5625,0.7,0.33333333333333337
The lack of moral conviction in American Society,0.14285714285714285,0.6666666666666666,0.6,0.75
The Middle Eastern Conflict,0.5833333333333334,0.4666666666666667,0.26666666666666666,0.6923076923076923
The increase of Greenhouse gases,0.75,0.0,0.5,0.4
Proliferation of Nuclear Weapons,0.4,1.0,0.6666666666666666,0.75
People are stupid,0.0,1.0,0.75,0.33333333333333337
qwertqwertqwertqwertqwertqwertqwertqwertqwertqwert,0.75,0.0,0.5,0.5
"sdfgjkydjrkguhkjtdfkghuyjdtykglhuofcykghkjllguklhjkfk;;k;11111111111111111111111111111111111111111
111111111111111111111111111999999999999999999999999999999999998888888888888888888888
88888888888887777777777777777777777777777777777777777",0.5,0.33333333333333337,1.0,1.0
